 
================================================================================
                                                                                
               fso-data-check utility for TIO data @ fso                  
                       Release 20190721-0931                                    
                                                                                
20190913 20:30:02 : Checking the fits file numbers & size                    
                    @ /cygdrive/e/20190913/TIO                                                     
                    Please wait...                                              
                    Press ctrl-c to break!                                      
                                                                                
================================================================================
 
20190913 20:31:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:47: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:50: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:51: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:55: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:58: Getting TIO fits file(s) info, Please Wait...   
20190913 20:31:59: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:16: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:23: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:26: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:29: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:31: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:33: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:37: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:38: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:39: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:40: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:41: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:43: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:47: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:50: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:51: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:53: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:55: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:32:59: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:09: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:23: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:25: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:26: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:29: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:31: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:37: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:38: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:39: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:40: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:41: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:42: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:43: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:47: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:50: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:53: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:55: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:58: Getting TIO fits file(s) info, Please Wait...   
20190913 20:33:59: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:16: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:23: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:26: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:29: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:31: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:33: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:37: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:38: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:39: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:40: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:41: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:43: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:47: Getting TIO fits file(s) info, Please Wait...   
